Type,genome,place,individual,insectary_id,brood,court_cp,court_mp,total_courts,prop_melp,total_trials
BC,25,2,13775,1068,C51,5,2,7,0.285714286,5
BC,25,2,13308,472,C10,5,2,7,0.285714286,6
BC,25,2,13646,877,C36,5,2,7,0.285714286,8
BC,25,2,13922,1190,C51,4,3,7,0.428571429,3
BC,25,2,13559,759,C32,4,3,7,0.428571429,5
BC,25,2,NA,920,c38,4,3,7,0.428571429,6
BC,25,2,13647,883,C37,3,4,7,0.571428571,6
BC,25,2,14003,1195,C72,0,7,7,1,4
F1,50,3,NA,154,C6,3,4,7,0.571428571,4
BC,25,2,13170,302,C8,8,0,8,0,5
BC,25,2,13747,1007,C51,8,0,8,0,5
BC,25,2,13488,738,C32,7,1,8,0.125,5
BC,25,2,13906,1238,C72,6,2,8,0.25,3
BC,25,2,13391,503,C23,6,2,8,0.25,5
BC,25,2,13562,701,C32,5,3,8,0.375,5
BC,25,2,13383,518,C23,3,5,8,0.625,5
F1,50,3,NA,141,C6,2,6,8,0.75,5
BM,75,4,13103,199,C4,0,8,8,1,5
BM,75,4,13195,318,C4,0,8,8,1,5
MP,100,5,NA,211,MP,3,5,8,0.625,3
CP,0,1,NA,575,CP,9,0,9,0,5
CP,0,1,13405,482,CP,7,2,9,0.222222222,7
BC,25,2,14018,1255,C70,9,0,9,0,3
BC,25,2,14054,1318,C72,9,0,9,0,4
BC,25,2,NA,911,c38,9,0,9,0,5
BC,25,2,13377,519,C23,7,2,9,0.222222222,1
BC,25,2,13833,1233,C70,7,2,9,0.222222222,5
BC,25,2,13778,1101,C51,7,2,9,0.222222222,6
BC,25,2,14057,1317,C94,6,3,9,0.333333333,5
BC,25,2,13843,1167,C71,5,4,9,0.444444444,3
BC,25,2,13202,337,C14,4,5,9,0.555555556,5
BC,25,2,13291,413,C10,4,5,9,0.555555556,5
BC,25,2,13289,402,C18,3,6,9,0.666666667,4
BC,25,2,NA,533,C23,2,7,9,0.777777778,1
BC,25,2,13223,332,C10,2,7,9,0.777777778,5
BM,75,4,13108,242,C4,1,8,9,0.888888889,5
MP,100,5,13253,364,MP,0,9,9,1,5
BC,25,2,13321,477,C18,9,1,10,0.1,5
BC,25,2,13755,1048,C51,8,2,10,0.2,5
BC,25,2,13229,355,C8,7,3,10,0.3,5
BC,25,2,13537,833,C32,7,3,10,0.3,5
BC,25,2,NA,1311,c72,6,4,10,0.4,1
BC,25,2,13652,976,C37,6,4,10,0.4,5
BC,25,2,13734,1094,C51,6,4,10,0.4,5
BC,25,2,14019,1259,C72,5,5,10,0.5,3
BC,25,2,13266,369,C8,3,7,10,0.7,5
F1,50,3,13044,103,C6,6,4,10,0.4,2
BM,75,4,13106,234,C4,4,6,10,0.6,5
BM,75,4,13126,249,C4,1,9,10,0.9,5
BM,75,4,13267,368,C4,1,9,10,0.9,5
MP,100,5,NA,276,MP,0,10,10,1,7
BC,25,2,13513,746,C32,10,1,11,0.090909091,5
BC,25,2,13653,913,C37,9,2,11,0.181818182,7
BC,25,2,13278,388,NA,8,3,11,0.272727273,5
BC,25,2,13313,432,C17,7,4,11,0.363636364,5
BC,25,2,13193,317,C8,6,5,11,0.454545455,5
BC,25,2,13998,1222,C72,5,6,11,0.545454545,4
BC,25,2,13249,357,C18,5,6,11,0.545454545,5
BC,25,2,13307,474,C10,3,8,11,0.727272727,4
BC,25,2,13487,739,C32,2,9,11,0.818181818,5
F1,50,3,NA,unknown,C6,2,9,11,0.818181818,2
BM,75,4,13070,174,C4,2,9,11,0.818181818,5
MP,100,5,NA,209,MP,0,11,11,1,5
BC,25,2,13047,118,C3,12,0,12,0,4
BC,25,2,13613,895,C37,11,1,12,0.083333333,4
BC,25,2,14044,1327,C94,10,2,12,0.166666667,4
BC,25,2,13190,311,C11,10,2,12,0.166666667,5
BC,25,2,13539,785,C32,10,2,12,0.166666667,5
BC,25,2,13814,1118,C51,10,2,12,0.166666667,5
BC,25,2,13189,281,C8,9,3,12,0.25,5
BC,25,2,13279,405,C18,9,3,12,0.25,5
BC,25,2,13655,994,C51,7,5,12,0.416666667,4
BC,25,2,13574,802,C32,6,6,12,0.5,5
BC,25,2,13171,295,C8,5,7,12,0.583333333,5
BC,25,2,14056,1310,C72,2,10,12,0.833333333,4
F1,50,3,NA,121,C6,1,11,12,0.916666667,5
F1,50,3,NA,193,C6,1,11,12,0.916666667,5
BM,75,4,13174,260,C4,2,10,12,0.833333333,5
BM,75,4,13073,129,C5,0,12,12,1,5
BM,75,4,13196,288,C4,0,12,12,1,5
BM,75,4,13246,353,C4,0,12,12,1,4
MP,100,5,NA,365,MP,3,9,12,0.75,5
CP,0,1,NA,214,CP,12,1,13,0.076923077,5
BC,25,2,13567,764,C32,11,2,13,0.153846154,5
BC,25,2,13886,1217,C71,10,3,13,0.230769231,3
BC,25,2,14037,1312,C70,9,4,13,0.307692308,3
BC,25,2,13776,1108,C51,9,4,13,0.307692308,7
BC,25,2,NA,470?,NA,1,12,13,0.923076923,5
F1,50,3,NA,135,C6,4,9,13,0.692307692,5
F1,50,3,NA,150,C6,1,12,13,0.923076923,5
F1,50,3,NA,217,C6,1,12,13,0.923076923,5
BM,75,4,13067,169,C5,0,13,13,1,5
BM,75,4,13104,239,C4,0,13,13,1,5
BC,25,2,13756,1042,C51,14,0,14,0,5
BC,25,2,13277,415,C18,10,4,14,0.285714286,5
BC,25,2,13555,763,C32,10,4,14,0.285714286,5
F1,50,3,NA,179,C6,3,11,14,0.785714286,5
BM,75,4,13175,261,C4,2,12,14,0.857142857,6
BM,75,4,NA,303,C4,2,12,14,0.857142857,5
BM,75,4,3216,268,C4,1,13,14,0.928571429,5
MP,100,5,NA,212,MP,1,13,14,0.928571429,5
MP,100,5,NA,243,MP,0,14,14,1,5
CP,0,1,NA,838,CP,14,1,15,0.066666667,5
BC,25,2,13830,1152,C70,14,1,15,0.066666667,8
BC,25,2,13191,297,C8,12,3,15,0.2,6
BC,25,2,13226,336,C14,7,8,15,0.533333333,4
BC,25,2,13558,794,C32,7,8,15,0.533333333,5
BC,25,2,13486,726,C32,6,9,15,0.6,5
BM,75,4,13084,180,C4,1,14,15,0.933333333,5
BC,25,2,13538,773,C32,14,2,16,0.125,5
BC,25,2,13049,112,C3,13,3,16,0.1875,5
BC,25,2,13583,848,C36,13,3,16,0.1875,5
BC,25,2,13288,401,C18,12,4,16,0.25,6
BC,25,2,13181,309,C8,10,6,16,0.375,5
BC,25,2,13207,339,C8,4,12,16,0.75,5
