type,sample,brood,court_cp,court_mp,total_courts,prop_melp,total_trials
BC,13291,C10,4,5,9,0.555555556,5
BC,13289,C18,3,6,9,0.666666667,4
BC,NA,C23,2,7,9,0.777777778,1
BC,13223,C10,2,7,9,0.777777778,5
BM,13108,C4,1,8,9,0.888888889,5
MP,13253,MP,0,9,9,1,5
BC,13321,C18,9,1,10,0.1,5
BC,13755,C51,8,2,10,0.2,5
BC,13229,C8,7,3,10,0.3,5
BC,13537,C32,7,3,10,0.3,5
BC,NA,c72,6,4,10,0.4,1
BC,13652,C37,6,4,10,0.4,5
BC,13734,C51,6,4,10,0.4,5
BC,14019,C72,5,5,10,0.5,3
BC,13266,C8,3,7,10,0.7,5
F1,13044,C6,6,4,10,0.4,2
BM,13106,C4,4,6,10,0.6,5
BM,13126,C4,1,9,10,0.9,5
BM,13267,C4,1,9,10,0.9,5
MP,NA,MP,0,10,10,1,7
BC,13513,C32,10,1,11,0.090909091,5
BC,13653,C37,9,2,11,0.181818182,7
BC,13278,NA,8,3,11,0.272727273,5
BC,13313,C17,7,4,11,0.363636364,5
BC,13193,C8,6,5,11,0.454545455,5
BC,13998,C72,5,6,11,0.545454545,4
BC,13249,C18,5,6,11,0.545454545,5
BC,13307,C10,3,8,11,0.727272727,4
BC,13487,C32,2,9,11,0.818181818,5
F1,NA,C6,2,9,11,0.818181818,2
BM,13070,C4,2,9,11,0.818181818,5
MP,NA,MP,0,11,11,1,5
BC,13047,C3,12,0,12,0,4
BC,13613,C37,11,1,12,0.083333333,4
BC,14044,C94,10,2,12,0.166666667,4
BC,13190,C11,10,2,12,0.166666667,5
BC,13539,C32,10,2,12,0.166666667,5
BC,13814,C51,10,2,12,0.166666667,5
BC,13189,C8,9,3,12,0.25,5
BC,13279,C18,9,3,12,0.25,5
BC,13655,C51,7,5,12,0.416666667,4
BC,13574,C32,6,6,12,0.5,5
BC,13171,C8,5,7,12,0.583333333,5
BC,14056,C72,2,10,12,0.833333333,4
F1,NA,C6,1,11,12,0.916666667,5
F1,NA,C6,1,11,12,0.916666667,5
BM,13174,C4,2,10,12,0.833333333,5
BM,13073,C5,0,12,12,1,5
BM,13196,C4,0,12,12,1,5
BM,13246,C4,0,12,12,1,4
MP,NA,MP,3,9,12,0.75,5
CP,NA,CP,12,1,13,0.076923077,5
BC,13567,C32,11,2,13,0.153846154,5
BC,13886,C71,10,3,13,0.230769231,3
BC,14037,C70,9,4,13,0.307692308,3
BC,13776,C51,9,4,13,0.307692308,7
BC,NA,NA,1,12,13,0.923076923,5
F1,NA,C6,4,9,13,0.692307692,5
F1,NA,C6,1,12,13,0.923076923,5
F1,NA,C6,1,12,13,0.923076923,5
BM,13067,C5,0,13,13,1,5
BM,13104,C4,0,13,13,1,5
BC,13756,C51,14,0,14,0,5
BC,13277,C18,10,4,14,0.285714286,5
BC,13555,C32,10,4,14,0.285714286,5
F1,NA,C6,3,11,14,0.785714286,5
BM,13175,C4,2,12,14,0.857142857,6
BM,NA,C4,2,12,14,0.857142857,5
BM,3216,C4,1,13,14,0.928571429,5
MP,NA,MP,1,13,14,0.928571429,5
MP,NA,MP,0,14,14,1,5
CP,NA,CP,14,1,15,0.066666667,5
BC,13830,C70,14,1,15,0.066666667,8
BC,13191,C8,12,3,15,0.2,6
BC,13226,C14,7,8,15,0.533333333,4
BC,13558,C32,7,8,15,0.533333333,5
BC,13486,C32,6,9,15,0.6,5
BM,13084,C4,1,14,15,0.933333333,5
BC,13538,C32,14,2,16,0.125,5
BC,13049,C3,13,3,16,0.1875,5
BC,13583,C36,13,3,16,0.1875,5
BC,13288,C18,12,4,16,0.25,6
BC,13181,C8,10,6,16,0.375,5
BC,13207,C8,4,12,16,0.75,5
F1,NA,C6,8,8,16,0.5,5
BM,13200,C4,1,15,16,0.9375,5
MP,NA,MP,0,16,16,1,5
CP,NA,CP,16,1,17,0.058823529,6
BC,13654,C37,17,0,17,0,5
BC,13650,C36,12,5,17,0.294117647,6
BC,13757,C51,7,10,17,0.588235294,5
F1,NA,C6,5,12,17,0.705882353,5
F1,NA,C6,4,13,17,0.764705882,5
BC,13404,C21,14,4,18,0.222222222,7
BC,13549,C32,11,7,18,0.388888889,5
BC,13124,C7,9,9,18,0.5,5
F1,NA,C6,1,17,18,0.944444444,5
BM,13105,C5,0,18,18,1,5
